2024-09-27 06:03:23 status installed libksba8:amd64 1.6.3-2
2024-09-27 06:03:23 configure libpsl5:amd64 0.21.2-1 <none>
2024-09-27 06:03:23 status unpacked libpsl5:amd64 0.21.2-1
2024-09-27 06:03:23 status half-configured libpsl5:amd64 0.21.2-1
2024-09-27 06:03:23 status installed libpsl5:amd64 0.21.2-1
2024-09-27 06:03:23 configure wget:amd64 1.21.3-1+b2 <none>
2024-09-27 06:03:23 status unpacked wget:amd64 1.21.3-1+b2
2024-09-27 06:03:23 status half-configured wget:amd64 1.21.3-1+b2
2024-09-27 06:03:24 status installed wget:amd64 1.21.3-1+b2
2024-09-27 06:03:24 configure libsqlite3-0:amd64 3.40.1-2 <none>
2024-09-27 06:03:24 status unpacked libsqlite3-0:amd64 3.40.1-2
2024-09-27 06:03:24 status half-configured libsqlite3-0:amd64 3.40.1-2
2024-09-27 06:03:24 status installed libsqlite3-0:amd64 3.40.1-2
2024-09-27 06:03:24 configure libssl3:amd64 3.0.14-1~deb12u2 <none>
2024-09-27 06:03:24 status unpacked libssl3:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:24 status half-configured libssl3:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:24 status installed libssl3:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:24 configure libnpth0:amd64 1.6-3 <none>
2024-09-27 06:03:24 status unpacked libnpth0:amd64 1.6-3
2024-09-27 06:03:24 status half-configured libnpth0:amd64 1.6-3
2024-09-27 06:03:24 status installed libnpth0:amd64 1.6-3
2024-09-27 06:03:24 configure libassuan0:amd64 2.5.5-5 <none>
2024-09-27 06:03:24 status unpacked libassuan0:amd64 2.5.5-5
2024-09-27 06:03:24 status half-configured libassuan0:amd64 2.5.5-5
2024-09-27 06:03:24 status installed libassuan0:amd64 2.5.5-5
2024-09-27 06:03:24 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2024-09-27 06:03:24 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-27 06:03:24 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-27 06:03:24 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-27 06:03:24 configure gnupg-l10n:all 2.2.40-1.1 <none>
2024-09-27 06:03:24 status unpacked gnupg-l10n:all 2.2.40-1.1
2024-09-27 06:03:24 status half-configured gnupg-l10n:all 2.2.40-1.1
2024-09-27 06:03:24 status installed gnupg-l10n:all 2.2.40-1.1
2024-09-27 06:03:24 configure libncursesw6:amd64 6.4-4 <none>
2024-09-27 06:03:24 status unpacked libncursesw6:amd64 6.4-4
2024-09-27 06:03:24 status half-configured libncursesw6:amd64 6.4-4
2024-09-27 06:03:24 status installed libncursesw6:amd64 6.4-4
2024-09-27 06:03:24 configure libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2024-09-27 06:03:24 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-27 06:03:24 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-27 06:03:24 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-27 06:03:24 configure openssl:amd64 3.0.14-1~deb12u2 <none>
2024-09-27 06:03:24 status unpacked openssl:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:24 status half-configured openssl:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:24 status installed openssl:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:24 configure readline-common:all 8.2-1.3 <none>
2024-09-27 06:03:24 status unpacked readline-common:all 8.2-1.3
2024-09-27 06:03:24 status half-configured readline-common:all 8.2-1.3
2024-09-27 06:03:24 status installed readline-common:all 8.2-1.3
2024-09-27 06:03:24 configure pinentry-curses:amd64 1.2.1-1 <none>
2024-09-27 06:03:24 status unpacked pinentry-curses:amd64 1.2.1-1
2024-09-27 06:03:24 status half-configured pinentry-curses:amd64 1.2.1-1
2024-09-27 06:03:24 status installed pinentry-curses:amd64 1.2.1-1
2024-09-27 06:03:24 configure libreadline8:amd64 8.2-1.3 <none>
2024-09-27 06:03:24 status unpacked libreadline8:amd64 8.2-1.3
2024-09-27 06:03:24 status half-configured libreadline8:amd64 8.2-1.3
2024-09-27 06:03:24 status installed libreadline8:amd64 8.2-1.3
2024-09-27 06:03:24 configure libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2024-09-27 06:03:24 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-27 06:03:24 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-27 06:03:24 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-27 06:03:24 configure ca-certificates:all 20230311 <none>
2024-09-27 06:03:24 status unpacked ca-certificates:all 20230311
2024-09-27 06:03:24 status half-configured ca-certificates:all 20230311
2024-09-27 06:03:24 status installed ca-certificates:all 20230311
2024-09-27 06:03:24 status triggers-pending ca-certificates:all 20230311
2024-09-27 06:03:25 configure gpgconf:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:25 status unpacked gpgconf:amd64 2.2.40-1.1
2024-09-27 06:03:25 status half-configured gpgconf:amd64 2.2.40-1.1
2024-09-27 06:03:25 status installed gpgconf:amd64 2.2.40-1.1
2024-09-27 06:03:25 configure gpg:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:25 status unpacked gpg:amd64 2.2.40-1.1
2024-09-27 06:03:25 status half-configured gpg:amd64 2.2.40-1.1
2024-09-27 06:03:25 status installed gpg:amd64 2.2.40-1.1
